NOPD_Item,Type_,TypeText,MapX,MapY,TimeCreate,TimeDispatch,TimeClosed,Disposition,DispositionText,BLOCK_ADDRESS,Zip
G3714314,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,7/29/2014 03:05:30,,7/29/2014 03:25:46,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),
B3169314,98,DRIVING WHILE UNDER INFLUENCE,3679295,523191,2/24/2014 23:06:34,2/24/2014 23:06:34,2/25/2014 01:17:55,NAT,Necessary Action Taken,012XX Saint Mary St,70130
D2339014,98,DRIVING WHILE UNDER INFLUENCE,3660628,526733,4/18/2014 02:02:35,4/18/2014 02:02:35,4/18/2014 04:37:58,NAT,Necessary Action Taken,St Charles Ave & S Carrollton Ave (2D01),70118
A3555114,98,DRIVING WHILE UNDER INFLUENCE,3676623,520541,1/29/2014 02:46:30,,1/29/2014 03:39:44,NAT,Necessary Action Taken,Magazine St & 6th St,70115
A3556714,98,DRIVING WHILE UNDER INFLUENCE,3678920,524992,1/29/2014 03:26:21,,1/29/2014 04:49:00,NAT,Necessary Action Taken,Saint Charles Ave & Euterpe St (6E03),70130
A3557314,98,DRIVING WHILE UNDER INFLUENCE,3665940,529149,1/29/2014 03:38:37,,1/29/2014 04:41:20,NAT,Necessary Action Taken,Panola St & Broadway St (2L04),70118
A3557714,98,DRIVING WHILE UNDER INFLUENCE,3677049,520824,1/29/2014 03:48:36,,1/29/2014 05:12:23,NAT,Necessary Action Taken,028XX Magazine St,70130
B3183814,98,DRIVING WHILE UNDER INFLUENCE,3687028,538691,2/25/2014 04:26:04,,2/25/2014 06:03:06,NAT,Necessary Action Taken,025XX N Derbigny St,70117
A3560314,98,DRIVING WHILE UNDER INFLUENCE,3676117,520208,1/29/2014 04:55:54,,1/29/2014 05:34:42,NAT,Necessary Action Taken,031XX Magazine St,70115
G3852414,98,DRIVING WHILE UNDER INFLUENCE,3674993,517855,7/30/2014 00:12:49,,7/30/2014 01:15:58,NAT,Necessary Action Taken,Tchoupitoulas St & Aline St,70115
G3862314,98,DRIVING WHILE UNDER INFLUENCE,3675792,517963,7/30/2014 02:15:27,,7/30/2014 03:31:17,NAT,Necessary Action Taken,Tchoupitoulas St & Louisiana Ave (6A03),70115
G3864314,98,DRIVING WHILE UNDER INFLUENCE,3672315,520972,7/30/2014 02:45:51,,7/30/2014 02:53:42,NAT,Necessary Action Taken,Constantinople St (6P01) & Saint Charles Ave,70115
G3869214,98,DRIVING WHILE UNDER INFLUENCE,3668698,520400,7/30/2014 04:19:44,7/30/2014 05:22:10,7/30/2014 06:42:05,NAT,Necessary Action Taken,Pitt St & Robert St,70115
G3870614,98,DRIVING WHILE UNDER INFLUENCE,3677049,520824,7/30/2014 04:48:30,7/30/2014 05:22:10,7/30/2014 06:03:43,NAT,Necessary Action Taken,Magazine St & Washington Ave,70130
L2527114,98,DRIVING WHILE UNDER INFLUENCE,3679130,540129,12/22/2014 05:42:15,,12/22/2014 08:24:08,NAT,Necessary Action Taken,N Broad St & Lapeyrouse St,70119
J3124314,98,DRIVING WHILE UNDER INFLUENCE,3678563,519128,10/25/2014 02:33:00,10/25/2014 02:33:00,10/25/2014 04:52:10,NAT,Necessary Action Taken,4th St & Rousseau St,70130
D2470614,98,DRIVING WHILE UNDER INFLUENCE,3678687,518928,4/19/2014 01:54:22,4/19/2014 01:54:22,4/19/2014 04:17:13,NAT,Necessary Action Taken,Tchoupitoulas St & 4th St,70130
G4004414,98,DRIVING WHILE UNDER INFLUENCE,3677452,519289,7/31/2014 01:34:40,,7/31/2014 02:53:24,NAT,Necessary Action Taken,Sixth St & Chippewa St,70115
G4005914,98,DRIVING WHILE UNDER INFLUENCE,3679462,523137,7/31/2014 01:48:45,,7/31/2014 03:30:45,NAT,Necessary Action Taken,Camp St & St Mary St,70130
G4009814,98,DRIVING WHILE UNDER INFLUENCE,3682065,523392,7/31/2014 02:41:20,,7/31/2014 04:06:21,NAT,Necessary Action Taken,015XX Religious St,70130
G4016014,98,DRIVING WHILE UNDER INFLUENCE,3670304,525913,7/31/2014 04:56:20,,7/31/2014 06:21:16,NAT,Necessary Action Taken,S Claiborne Ave (2Q03) & Napoleon Ave,
D2480714,98,DRIVING WHILE UNDER INFLUENCE,3681673,520761,4/19/2014 04:58:55,,4/19/2014 06:03:12,NAT,Necessary Action Taken,018XX Tchoupitoulas St,70130
A0891814,98,DRIVING WHILE UNDER INFLUENCE,3680372,526246,1/8/2014 01:13:19,,1/8/2014 02:45:04,NAT,Necessary Action Taken,Calliope St (6E04) & Camp St,70130
A0525814,98,DRIVING WHILE UNDER INFLUENCE,3671802,518864,1/5/2014 01:22:47,,1/5/2014 02:26:31,NAT,Necessary Action Taken,042XX Magazine St,70115
D2517114,98,DRIVING WHILE UNDER INFLUENCE,3679570,530634,4/19/2014 12:30:16,4/19/2014 12:31:30,4/19/2014 14:55:43,NAT,Necessary Action Taken,S Rampart St & Gravier St,70112
H0003914,98,DRIVING WHILE UNDER INFLUENCE,3681692,520667,8/1/2014 00:36:56,8/1/2014 00:36:56,8/1/2014 01:56:02,NAT,Necessary Action Taken,019XX Tchoupitoulas St,70130
H0004114,98,DRIVING WHILE UNDER INFLUENCE,3681673,520761,8/1/2014 00:38:42,,8/1/2014 02:45:43,NAT,Necessary Action Taken,018XX Tchoupitoulas St,70130
H0005114,98,DRIVING WHILE UNDER INFLUENCE,3681692,520667,8/1/2014 00:51:45,8/1/2014 00:51:45,8/1/2014 02:46:44,NAT,Necessary Action Taken,019XX Tchoupitoulas St,70130
