Trade Name,Address,City,State,Zip,Occupation Code,Owner Name,Location 1
BROTHERS FOOD MART 109,148 CARONDELET ST,NEW ORLEANS,LA,70130,1106 - GROCERY (EXC CONVENIENCE) STORES,"148 CARONDELET STREET,LLC","148 CARONDELET ST
NEW ORLEANS, LA 70130
(29.95280014700006, -90.07082880599995)"
NEW ORLEANS CREOLE COOKERY,508 TOULOUSE ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"TOULOUSE FRENCH QUARTER RESTAURANT,LLC","508 TOULOUSE ST
NEW ORLEANS, LA 70130
(29.956021650000025, -90.06367123199999)"
ALBERTOS GOURMET CHEESES,244 W HARRISON AVE,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ALBERTOS TAPAS LLC,"244 W HARRISON AVE
NEW ORLEANS, LA 70130
(30.005675250000024, -90.11778491499996)"
BAILEY'S PLACE,1929 N DORGENOIS ST,NEW ORLEANS,LA,70119-1409,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"BAILEY JR, WILLIE L","1929 N DORGENOIS ST
NEW ORLEANS, LA 70119-1409
(29.982157983000036, -90.06782134999997)"
BAR TONIQUE,820 N RAMPART ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),HAYES DIAZ LLC,"820 N RAMPART ST
NEW ORLEANS, LA 70116
(29.96169115300006, -90.06725788499995)"
BARBARA MAE'S PLACE,1525 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1101 - CONVENIENCE STORES,JUANITA I JOHNSON,"1525 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.971658544000036, -90.06689699099996)"
BAYOU BEER GARDEN,326 N JEFFERSON DAVIS PKWY,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),BAYOU BEER GARDEN LLC,"326 N JEFFERSON DAVIS PKWY
NEW ORLEANS, LA 70119
(29.972160786000074, -90.09182914199994)"
BLACK PEARL RESTAURANT & BAR,1001 N CLAIBORNE AVE,NEW ORLEANS,LA,70116,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),GYASI HARGETT,"1001 N CLAIBORNE AVE
NEW ORLEANS, LA 70116
(29.96666094400007, -90.07135194199998)"
BLACK PENNY,700 N RAMPART ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),RAMPART GROUP LLC,"700 N RAMPART ST
NEW ORLEANS, LA 70116
(29.960520435000035, -90.06830876599997)"
BROADVIEW SEAFOOD,1468 N BROAD ST,NEW ORLEANS,LA,70119-2365,1104 - FISH & SEAFOOD MARKETS,"DON DO, INC","1468 N BROAD ST
NEW ORLEANS, LA 70119-2365
(29.977450911000062, -90.07687943799993)"
