2/29/2012,General De Gaulle Dr & Holiday D
10/13/2012,General De Gaulle Dr & Holiday D
4/29/2012,General De Gaulle Dr & L B Landr
3/24/2013,General De Gaulle Dr & L B Landr
6/22/2013,General De Gaulle Dr & L B Landr
8/31/2013,General De Gaulle Dr & L B Landr
8/1/2014,General De Gaulle Dr & L B Landry Ave
11/22/2014,General De Gaulle Dr & L B Landry Ave
10/26/2012,General De Gaulle Dr & Seine Ct
7/9/2012,General De Gaulle Dr & Shirley D
3/8/2013,General De Gaulle Dr & Shirley D
3/8/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
7/26/2013,General De Gaulle Dr & Shirley D
7/26/2013,General De Gaulle Dr & Shirley D
8/29/2014,General De Gaulle Dr & Shirley Dr
12/17/2014,General De Gaulle Dr & Shirley Dr
1/15/2012,General De Gaulle Dr & Texas Dr
12/17/2014,General De Gaulle Dr & Wagner St
1/7/2012,General De Gaulle Dr & Westbank
1/24/2012,General De Gaulle Dr & Westbank
2/10/2012,General De Gaulle Dr & Westbank
3/5/2012,General De Gaulle Dr & Westbank
3/26/2012,General De Gaulle Dr & Westbank
3/28/2012,General De Gaulle Dr & Westbank
4/28/2012,General De Gaulle Dr & Westbank
11/4/2012,General De Gaulle Dr & Westbank
3/22/2013,General De Gaulle Dr & Westbank
12/13/2013,General De Gaulle Dr & Westbank Expy In
8/15/2013,General Diaz St & Harrison Ave
4/21/2012,General Meyer Ave & Richland Rd
10/7/2012,General Pershing St & Magnolia S
3/2/2012,General Pershing St & Saint Char
1/24/2012,General Taylor St & Magazine St
9/13/2013,General Taylor St & Magazine St
8/20/2014,General Taylor St & Prytania St
4/27/2014,Gentilly Blvd & Aubry St
2/10/2014,Gentilly Blvd & Baccich St
11/20/2014,Gentilly Blvd & Elysian Fields Ave
1/15/2011,Gentilly Blvd & Lafaye St
6/26/2011,Gentilly Blvd & Lafaye St
3/14/2011,Gentilly Blvd & New Orleans St
1/20/2013,Gentilly Blvd & Norman Mayer Ave
11/15/2014,Gentilly Blvd & Norman Mayer Ave
6/26/2011,Gentilly Blvd & Paris Ave
5/13/2013,Gentilly Blvd & Paris Ave
9/3/2012,Gentilly Blvd & Saint Bernard Av
11/28/2011,Gentilly Blvd & St Anthony Ave
9/25/2011,Germain St & Milne Blvd
7/15/2011,Germain St & West End Blvd
6/5/2014,Girod St & S Peters St
11/5/2012,Gordon St & Saint Claude Ave
7/25/2011,Gordon St & St Claude Ave
5/29/2011,Gov Nicholls St & N Peters St
1/31/2014,Governor Nicholls St & N Claiborne Ave
5/30/2013,Governor Nicholls St & N Peters
4/18/2011,Gravier St & O'Keefe Ave
6/11/2013,Gravier St & O'Keefe Ave
9/28/2013,Gravier St & S Derbigny St
7/24/2011,Gravier St & S Peters St
5/28/2013,Gravier St & S Rampart St
1/2/2013,Gravier St & Tchoupitoulas St
8/6/2012,Hagan Ave & Orleans Ave
7/22/2014,Hagan Ave & St Peter St
9/7/2014,Hampson St & Broadway St
8/7/2012,Hampson St & Hillary St
2/10/2012,Hampson St & Leake Ave
12/27/2011,Harmony St & Magazine St
7/25/2012,Harmony St & Magazine St
7/24/2014,Harmony St & Magazine St
2/5/2012,Harmony St & Saint Charles Ave
10/22/2011,Harmony St & St Charles Ave
7/15/2012,Harmony St & Tchoupitoulas St
7/28/2012,Harmony St & Tchoupitoulas St
3/7/2013,Harmony St & Tchoupitoulas St
3/16/2013,Harmony St & Tchoupitoulas St
3/26/2013,Harmony St & Tchoupitoulas St
5/4/2013,Harmony St & Tchoupitoulas St
8/24/2013,Harmony St & Tchoupitoulas St
12/15/2013,Harmony St & Tchoupitoulas St
6/14/2014,Harmony St & Tchoupitoulas St
9/11/2011,Harrison Ave & Marconi Dr
1/20/2013,Harrison Ave & Marconi Dr
5/26/2012,Harrison Ave & Orleans Ave
5/13/2011,Harrison Ave & Paris Ave
12/20/2012,Harrison Ave & Pontchartrain Blv
5/8/2011,Harrison Ave & Vicksburg St
3/12/2011,Harrison Ave & West End Blvd
7/6/2012,Harrison Ave & West End Blvd
11/12/2012,Harrison Ave & West End Blvd
12/20/2012,Harrison Ave & West End Blvd
3/14/2013,Harrison Ave & West End Blvd
8/16/2013,Harrison Ave & West End Blvd
8/10/2011,Harrison Ave & Wisner Blvd
2/2/2012,Harrison Ave & Wisner Blvd
12/15/2012,Harrison Ave & Wisner Blvd
6/5/2014,Hayne Blvd & Bullard Ave
3/11/2012,Hayne Blvd & Lehigh St
10/30/2014,Hayne Blvd & Marquis St
8/10/2012,Heerman St & Opelousas Ave
5/2/2011,Helena St & Iberville St
5/13/2012,Hendee St & Thayer St
2/24/2011,Henderson St & Tchoupitoulas St
11/11/2011,Henderson St & Tchoupitoulas St
11/13/2011,Henderson St & Tchoupitoulas St
1/22/2012,Henderson St & Tchoupitoulas St
4/21/2012,Henderson St & Tchoupitoulas St
10/12/2014,Henry Clay Ave & Camp St
10/10/2013,Henry Clay Ave & Laurel St
8/24/2014,Henry Clay Ave & Magazine St
9/14/2011,Hermosa St & Mardi Gras Blvd
6/13/2013,Hillary St & Leake Ave
4/20/2011,Hillary St & Maple St
10/8/2011,Hillary St & Maple St
7/17/2013,Hillary St & Maple St
9/17/2011,Hillary St & Oak St
11/29/2011,Hillary St & Oak St
5/21/2012,Hillary St & Saint Charles Ave
5/22/2011,Hillary St & St Charles Ave
8/30/2011,Hillary St & St Charles Ave
8/13/2012,Hillary St & Zimple St
2/21/2013,Holiday Dr & Mac Arthur Blvd
8/18/2013,Howard Ave & I-10 E
3/23/2011,Howard Ave & O'Keefe Ave
6/28/2012,Howard Ave & O'Keefe Ave
4/15/2013,Howard Ave & S Rendon St
6/3/2012,Howard Ave & Saint Charles Ave
9/28/2011,Howard Ave & St Charles Ave
8/2/2012,Hurst St & Joseph St
5/16/2013,Hurst St & Leake Ave
3/24/2011,Hwy 11 Bridge
9/28/2014,I-10 E & Bertrand St
10/6/2013,I-10 E & Bullard Ave
3/7/2014,I-10 E & Bullard Ave
9/16/2014,I-10 E & Bullard Ave
5/19/2014,I-10 E & Bullard Ave
10/27/2014,I-10 E & Bullard Ave
11/12/2014,I-10 E & Bullard Ave Exit
10/7/2013,I-10 E & Canal St
3/22/2014,I-10 E & Canal St
12/18/2013,I-10 E & Carrollton Ave Onramp
5/28/2014,I-10 E & Chef Menteur Hwy
7/5/2014,I-10 E & Chef Menteur Hwy
1/16/2014,I-10 E & City Park Ave
2/2/2014,I-10 E & Crowder Blvd
5/8/2014,I-10 E & Crowder Blvd
3/27/2014,I-10 E & Crowder Blvd Exit
2/16/2014,I-10 E & Dwyer Rd
11/22/2014,I-10 E & Elysian Fields Ave
8/16/2014,I-10 E & Elysian Fields Exit
1/19/2011,I-10 E & I-510 N
3/16/2011,I-10 E & I-510 N
3/12/2012,I-10 E & I-510 N
6/25/2012,I-10 E & I-510 N
6/27/2012,I-10 E & I-510 N
10/2/2013,I-10 E & I-510 S Exit
10/5/2013,I-10 E & I-510 S Exit
3/8/2011,I-10 E & I-610 E
11/28/2011,I-10 E & I-610 E
12/30/2013,I-10 E & I-610 E
9/18/2014,I-10 E & I-610 E
3/16/2014,I-10 E & Iberville St
7/5/2013,I-10 E & Iris Bayou
4/14/2012,I-10 E & Jeff Davis Overpass
9/7/2012,I-10 E & Jeff Davis Overpass
11/1/2013,I-10 E & Jeff Davis Overpass
11/1/2013,I-10 E & Jeff Davis Overpass
2/1/2014,I-10 E & Jeff Davis Overpass
5/28/2014,I-10 E & Little Woods Exit
11/26/2014,I-10 E & Little Woods Exit
3/30/2014,I-10 E & Little Woods Exit
2/14/2011,I-10 E & Louisa St
6/26/2011,I-10 E & Louisa St
9/11/2011,I-10 E & Louisa St
12/24/2011,I-10 E & Louisa St
1/22/2012,I-10 E & Louisa St
2/7/2012,I-10 E & Louisa St
8/12/2012,I-10 E & Louisa St
3/21/2013,I-10 E & Louisa St
4/20/2013,I-10 E & Louisa St
7/27/2013,I-10 E & Louisa St
10/17/2014,I-10 E & Louisa St
11/16/2014,I-10 E & Louisa St
4/11/2013,I-10 E & Louisa St Exit
1/27/2013,I-10 E & Louisa St Onramp
2/24/2011,I-10 E & Metairie Rd
3/8/2011,I-10 E & Metairie Rd
3/25/2011,I-10 E & Metairie Rd
7/30/2011,I-10 E & Metairie Rd
12/11/2011,I-10 E & Metairie Rd
4/13/2012,I-10 E & Metairie Rd
4/30/2012,I-10 E & Metairie Rd
10/14/2012,I-10 E & Metairie Rd
8/14/2013,I-10 E & Metairie Rd
10/11/2013,I-10 E & Metairie Rd
6/6/2014,I-10 E & Metairie Rd
2/22/2014,I-10 E & Metairie Rd
2/23/2011,I-10 E & Metairie Rd Exit
6/3/2011,I-10 E & Metairie Rd Exit
4/27/2011,I-10 E & Michoud Blvd
6/22/2012,I-10 E & Michoud Blvd
9/11/2012,I-10 E & Michoud Blvd
11/12/2013,I-10 E & Michoud Blvd
4/11/2011,I-10 E & Morrison Exit
8/26/2011,I-10 E & Morrison Exit
1/3/2012,I-10 E & Morrison Exit
6/23/2012,I-10 E & Morrison Exit
11/1/2012,I-10 E & Morrison Exit
5/14/2013,I-10 E & Morrison Exit
8/9/2013,I-10 E & Morrison Rd Exit
9/27/2013,I-10 E & Morrison Rd Exit
9/3/2014,I-10 E & Morrison Rd Exit
9/4/2014,I-10 E & Morrison Rd Exit
4/27/2011,I-10 E & Orleans Ave
3/24/2012,I-10 E & Orleans Ave
5/23/2012,I-10 E & Orleans Ave
5/26/2012,I-10 E & Orleans Ave
3/4/2011,I-10 E & Pontchartrain Blvd
8/21/2012,I-10 E & Pontchartrain Blvd
10/23/2013,I-10 E & Poydras St Exit
3/3/2012,I-10 E & Read Blvd
7/4/2012,I-10 E & Read Blvd
8/6/2012,I-10 E & Read Blvd
9/22/2012,I-10 E & Read Blvd
2/27/2013,I-10 E & Read Blvd
4/3/2013,I-10 E & Read Blvd
9/26/2013,I-10 E & Read Blvd
10/6/2013,I-10 E & Read Blvd
12/1/2013,I-10 E & Read Blvd
12/15/2013,I-10 E & Read Blvd
2/26/2014,I-10 E & Read Blvd
7/13/2014,I-10 E & Read Blvd
9/26/2013,I-10 E & S Carrollton Ave
2/13/2013,I-10 E & S Jeff Davis Overpass
7/15/2012,I-10 E & Saint Bernard Ave
5/25/2012,I-10 E & Tulane Ave
3/30/2012,I-10 E & Ursulines Ave
7/3/2011,I-10 E & Us90B E
9/1/2013,I-10 E & US90B E
5/8/2011,I-10 E & Us90B W
10/23/2014,I-10 E Onramp & Elysian Fields Ave
9/24/2012,I-10 E Onramp & I-510 S
9/17/2012,I-10 E Onramp & Morrison Rd Onra
6/14/2013,I-10 W
3/3/2014,I-10 W & Canal St
4/25/2014,I-10 W & Carrollton Airline Exit
12/6/2014,I-10 W & Carrollton Airline Exit
5/30/2014,I-10 W & Carrollton Airline Exit
9/14/2013,I-10 W & City Park Ave
11/20/2013,I-10 W & City Park Ave
5/30/2014,I-10 W & City Park Ave
9/15/2014,I-10 W & City Park Ave
3/31/2014,I-10 W & City Park Ave
7/4/2014,I-10 W & City Park Ave
7/18/2014,I-10 W & City Park Ave
6/9/2014,I-10 W & Elysian Fields Exit
9/21/2013,I-10 W & Franklin Ave
11/5/2011,I-10 W & I-510 N
10/24/2013,I-10 W & I-510 N
10/7/2014,I-10 W & I-510 S
1/15/2011,I-10 W & I-610 W
3/1/2012,I-10 W & I-610 W
12/6/2012,I-10 W & I-610 W
7/22/2013,I-10 W & I-610 W
1/12/2011,I-10 W & Jeff Davis Overpass
3/23/2011,I-10 W & Jeff Davis Overpass
4/14/2011,I-10 W & Jeff Davis Overpass
6/16/2011,I-10 W & Jeff Davis Overpass
6/28/2011,I-10 W & Jeff Davis Overpass
